description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Limón x kg,,1.0,kg,2.99,metro,2024-12-06 18:27:39.693892,LIMÓN,1.0,kg,2.99,LIMÓN
Limón Sútil x kg,,1.0,kg,2.99,metro,2024-12-06 18:27:39.693892,LIMÓN,1.0,kg,2.99,LIMÓN
Limón Sutil x kg,,1.0,kg,2.99,metro,2024-12-06 18:27:39.693892,LIMÓN,1.0,kg,2.99,LIMÓN
Limón Ácido,,0.5,kg,3.29,plaza_vea,2024-12-06 13:53:11.754493,LIMÓN,1.0,kg,6.58,LIMÓN
Limón x kg,,1.0,kg,3.59,wong,2024-12-06 13:49:53.365739,LIMÓN,1.0,kg,3.59,LIMÓN
Limón Acido x kg,VIVANDA,1.0,kg,3.99,vivanda,2024-12-06 11:41:35.344866,LIMÓN,1.0,kg,3.99,LIMÓN
Limón Tahiti Metro x kg,,1.0,kg,3.99,metro,2024-12-06 18:27:39.693892,LIMÓN,1.0,kg,3.99,LIMÓN
Limón Tahíti x kg,,1.0,kg,4.19,wong,2024-12-06 13:49:53.365739,LIMÓN,1.0,kg,4.19,LIMÓN
Limón Tahití x kg,VIVANDA,1.0,kg,4.2,vivanda,2024-12-06 11:41:35.344866,LIMÓN,1.0,kg,4.2,LIMÓN
Limón Eureka x kg,,1.0,kg,5.3,metro,2024-12-06 18:27:39.693892,LIMÓN,1.0,kg,5.3,LIMÓN
Limón Eureka x kg,,1.0,kg,5.5,wong,2024-12-06 13:49:53.365739,LIMÓN,1.0,kg,5.5,LIMÓN
Limón Dulce x kg,,1.0,kg,6.09,wong,2024-12-06 13:49:53.365739,LIMÓN,1.0,kg,6.09,LIMÓN
Limón Tahití Deshidratado GO BARMAN Bolsa 25g,GO BARMAN,25.0,g,19.9,vivanda,2024-12-06 11:41:35.344866,LIMÓN,1.0,kg,796.0,LIMÓN
